====================================================================================================
3-CARD PREFLOP SCORES FOR TOSS'EM HOLD'EM (MONTE CARLO)
====================================================================================================

Simulations per hand: 50000

Formula:
  Preflop Score = (3card_equity + 2card_eq_1 + 2card_eq_2 + 2card_eq_3) / 4

Total hand classes: 1911

----------------------------------------------------------------------------------------------------
Rank  Hand   Score   Raw3c   2c_1    2c_2    2c_3    Pattern  Best  
208   AQT    0.5980  0.5796  0.6151  0.6053  0.5919  _AA      AQo   
209   KJ9    0.5976  0.6302  0.6105  0.5867  0.5632  AAA      KJs   
210   JJ4    0.5976  0.7061  0.7240  0.4984  0.4620  _AA      JJ    
211   A88    0.5974  0.5725  0.6395  0.6023  0.5756  AA_      88    
212   A88    0.5972  0.5716  0.6395  0.6023  0.5756  A_A      88    
213   AKQ    0.5972  0.5632  0.6231  0.6151  0.5874  ___      AKo   
214   JJ4    0.5971  0.7039  0.7240  0.4984  0.4620  A_A      JJ    
215   AQJ    0.5969  0.5694  0.6367  0.6072  0.5741  AA_      AQs   
216   JJ7    0.5967  0.6705  0.7240  0.4961  0.4961  ___      JJ    
217   JJ3    0.5966  0.7175  0.7240  0.4930  0.4518  _AA      JJ    
218   AT7    0.5965  0.6483  0.6265  0.5893  0.5220  AAA      ATs   
219   TT7    0.5963  0.6746  0.6979  0.5220  0.4907  _AA      TT    
220   TT7    0.5963  0.6744  0.6979  0.5220  0.4907  A_A      TT    
221   AJ5    0.5961  0.6581  0.6318  0.5863  0.5081  AAA      AJs   
222   AQ2    0.5954  0.6940  0.6367  0.5535  0.4975  AAA      AQs   
223   JJ3    0.5952  0.7119  0.7240  0.4930  0.4518  A_A      JJ    
224   A98    0.5950  0.6437  0.6052  0.6023  0.5287  AAA      A9s   
225   AQJ    0.5945  0.5572  0.6318  0.6151  0.5741  A_A      AJs   
226   AQT    0.5941  0.5681  0.6367  0.6053  0.5663  AA_      AQs   
227   AJ4    0.5939  0.6669  0.6318  0.5784  0.4984  AAA      AJs   
228   AKJ    0.5934  0.5561  0.6231  0.6072  0.5870  ___      AKo   
229   J99    0.5933  0.6114  0.6673  0.5632  0.5315  A_A      99    
230   KT9    0.5932  0.6274  0.6056  0.5867  0.5531  AAA      KTs   
231   J99    0.5931  0.6103  0.6673  0.5632  0.5315  AA_      99    
232   AKT    0.5931  0.5423  0.6265  0.6231  0.5803  A_A      ATs   
