====================================================================================================
3-CARD PREFLOP SCORES - TOSS'EM HOLD'EM
====================================================================================================

Simulations per hand: 50000

Scoring: preflop_score = pure 3-card MC equity
         (both players discard optimally in simulation)

Total hand classes: 1911

------------------------------------------------------------------------------------------
Rank   Hand   Score    Pattern  Keep   Best2c   2nd2c    Flex  
182    TT6    0.6681   A_A      TT     0.6987   0.5103   0.812 
183    AQ5    0.6679   AAA      AQs    0.6368   0.5858   0.949 
184    TT6    0.6673   _AA      TT     0.6987   0.5103   0.812 
185    AK7    0.6662   AAA      AKs    0.6426   0.5903   0.948 
186    TT2    0.6661   ___      TT     0.6987   0.4208   0.722 
187    AT3    0.6658   AAA      ATs    0.6235   0.5665   0.943 
188    AJ4    0.6658   AAA      AJs    0.6301   0.5739   0.944 
189    JJ5    0.6651   ___      JJ     0.7266   0.4744   0.748 
190    TT9    0.6642   ___      TT     0.6987   0.5249   0.826 
191    A53    0.6640   AAA      A5s    0.5858   0.5665   0.981 
192    AK8    0.6640   AAA      AKs    0.6426   0.6006   0.958 
193    JJ6    0.6634   ___      JJ     0.7266   0.4787   0.752 
194    AK9    0.6616   AAA      AKs    0.6426   0.6078   0.965 
195    A42    0.6613   AAA      A4s    0.5739   0.5575   0.984 
196    A92    0.6613   AAA      A9s    0.6078   0.5575   0.950 
197    992    0.6611   _AA      99     0.6697   0.4428   0.773 
198    TT5    0.6608   A_A      TT     0.6987   0.4918   0.793 
199    992    0.6604   A_A      99     0.6697   0.4428   0.773 
200    998    0.6600   A_A      99     0.6697   0.5284   0.859 
201    A52    0.6592   AAA      A5s    0.5858   0.5575   0.972 
202    A54    0.6591   AAA      A5s    0.5858   0.5739   0.988 
203    998    0.6588   _AA      99     0.6697   0.5284   0.859 
204    AQ8    0.6586   AAA      AQs    0.6368   0.6006   0.964 
205    AQ7    0.6584   AAA      AQs    0.6368   0.5903   0.953 
206    AQ6    0.6584   AAA      AQs    0.6368   0.5845   0.948 
207    A43    0.6579   AAA      A4s    0.5739   0.5665   0.993 
208    KQJ    0.6564   AAA      KQs    0.6151   0.6104   0.995 
209    AJ5    0.6564   AAA      AJs    0.6301   0.5858   0.956 
210    AJ7    0.6558   AAA      AJs    0.6301   0.5903   0.960 
211    AT4    0.6557   AAA      ATs    0.6235   0.5739   0.950 
212    997    0.6557   _AA      99     0.6697   0.5138   0.844 
213    KQT    0.6547   AAA      KQs    0.6151   0.6095   0.994 
214    TT8    0.6545   ___      TT     0.6987   0.5084   0.810 
215    TT5    0.6544   _AA      TT     0.6987   0.4918   0.793 
216    997    0.6541   A_A      99     0.6697   0.5138   0.844 
217    993    0.6541   A_A      99     0.6697   0.4535   0.784 
218    AQ9    0.6538   AAA      AQs    0.6368   0.6078   0.971 
219    JTT    0.6530   A_A      TT     0.6987   0.5819   0.883 
220    QJJ    0.6514   ___      JJ     0.7266   0.5776   0.851 
221    A93    0.6512   AAA      A9s    0.6078   0.5665   0.959 
222    KJT    0.6511   AAA      KJs    0.6104   0.6095   0.999 
223    996    0.6510   _AA      99     0.6697   0.4943   0.825 
224    A82    0.6505   AAA      A8s    0.6006   0.5575   0.957 
225    TT3    0.6505   ___      TT     0.6987   0.4320   0.733 
226    KQ2    0.6503   AAA      KQs    0.6151   0.5229   0.908 
227    QTT    0.6502   AA_      TT     0.6987   0.5926   0.894 
228    JTT    0.6502   AA_      TT     0.6987   0.5819   0.883 
229    993    0.6499   _AA      99     0.6697   0.4535   0.784 
230    A32    0.6495   AAA      A3s    0.5665   0.5575   0.991 
231    AT5    0.6495   AAA      ATs    0.6235   0.5858   0.962 
232    KTT    0.6487   AA_      TT     0.6987   0.6095   0.911 
233    KTT    0.6482   A_A      TT     0.6987   0.6095   0.911 
234    AJ8    0.6479   AAA      AJs    0.6301   0.6006   0.971 
